AllDepartments,Areas,Building,CoursePrefix,Credits,DOW,DOWSort,Department,HasBio,InstructionMethod,Instructors,InstructorsFullName,IsWritingIntensive,Level,Location,MaxSeats,Meetings,OfferingName,OpenSeats,Repeatable,SSS_SectionsID,SchoolName,SeatsAvailable,SectionCoReqNotes,SectionCoRequisites,SectionDetails,SectionName,SectionRegRestrictions,Status,SubDepartment,Term,TermStartDate,Term_IDR,Term_JSS,TimeOfDay,Title,Waitlisted
EN Applied Mathematics & Statistics,"Q, Science and Data","Hodson, Krieger",EN,4.00,23,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",A. Nakade,"Nakade, Apurva",No,Lower Level Undergraduate,Homewood Campus,40,"MWF 10:00AM - 10:50AM, T 10:30AM - 11:20AM",EN.553.171,10,N,847454,Whiting School of Engineering,10/40,,,,01,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Morning,Discrete Mathematics,0
EN Applied Mathematics & Statistics,"Q, Science and Data","Croft Hall, Wyman Park",EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",S. Hong,"Hong, Su Ji",No,Lower Level Undergraduate,Homewood Campus,16,"MWF 10:00AM - 10:50AM, Th 9:00AM - 9:50AM",EN.553.172,5,N,848036,Whiting School of Engineering,5/16,,,,01,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Morning,Honors Discrete Mathematics,0
EN Applied Mathematics & Statistics,"Q, Science and Data",Shaffer,EN,4.00,29,01^09:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",A. Acharyya,"Acharyya, Aranyak",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 9:00AM - 9:50AM, Th 9:00AM - 9:50AM",EN.553.211,11,N,847487,Whiting School of Engineering,11/24,,,,01,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Morning,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,"Q, Science and Data","Gilman, Shaffer",EN,4.00,29,01^09:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",A. Acharyya,"Acharyya, Aranyak",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 9:00AM - 9:50AM, Th 4:30PM - 5:20PM",EN.553.211,15,N,847488,Whiting School of Engineering,15/24,,,,02,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Other,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,"Q, Science and Data","Krieger, Shaffer",EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",R. Zheng,"Zheng, Runbing",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 10:00AM - 10:50AM, Th 12:00PM - 12:50PM",EN.553.211,4,N,847489,Whiting School of Engineering,4/24,,,,03,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Other,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,"Q, Science and Data","Shaffer, Wyman Park",EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",R. Zheng,"Zheng, Runbing",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 10:00AM - 10:50AM, Th 1:30PM - 2:20PM",EN.553.211,1,N,847490,Whiting School of Engineering,1/24,,,,04,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Other,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,"Q, Science and Data",Maryland,EN,4.00,29,01^11:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",T. Jones,"Jones, Taylor",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 11:00AM - 11:50AM, Th 3:00PM - 3:50PM",EN.553.211,7,N,847491,Whiting School of Engineering,7/24,,,,05,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Other,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,"Q, Science and Data",Maryland,EN,4.00,29,01^11:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",T. Jones,"Jones, Taylor",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 11:00AM - 11:50AM, Th 4:30PM - 5:20PM",EN.553.211,5,N,847492,Whiting School of Engineering,5/24,,,,06,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Other,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,"Q, Science and Data",Maryland,EN,4.00,29,01^11:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",T. Jones,"Jones, Taylor",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 11:00AM - 11:50AM, Th 3:00PM - 3:50PM",EN.553.211,7,N,847493,Whiting School of Engineering,7/24,,,,07,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Other,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,"Q, Science and Data",Maryland,EN,4.00,29,01^11:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",T. Jones,"Jones, Taylor",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 11:00AM - 11:50AM, Th 6:00PM - 6:50PM",EN.553.211,4,N,847494,Whiting School of Engineering,4/24,,,,08,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Other,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,"EQ, Science and Data","Maryland, Shaffer",EN,4.00,23,01^12:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",M. Micheli,"Micheli, Mario",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 12:00PM - 12:50PM, T 3:00PM - 3:50PM",EN.553.291,9,N,847457,Whiting School of Engineering,9/24,,,,01,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Afternoon,Linear Algebra and Differential Equations,0
EN Applied Mathematics & Statistics,"EQ, Science and Data","Gilman, Shaffer",EN,4.00,23,01^12:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",M. Micheli,"Micheli, Mario",No,Lower Level Undergraduate,Homewood Campus,23,"MWF 12:00PM - 12:50PM, T 4:30PM - 5:20PM",EN.553.291,8,N,847458,Whiting School of Engineering,8/23,,,,02,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Afternoon,Linear Algebra and Differential Equations,0
EN Applied Mathematics & Statistics,"EQ, Science and Data","Maryland, Shaffer",EN,4.00,23,01^12:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",M. Micheli,"Micheli, Mario",No,Lower Level Undergraduate,Homewood Campus,23,"MWF 12:00PM - 12:50PM, T 6:00PM - 6:50PM",EN.553.291,19,N,847459,Whiting School of Engineering,19/23,,,,03,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Other,Linear Algebra and Differential Equations,0
EN Applied Mathematics & Statistics,"EQ, Science and Data","Maryland, Shaffer",EN,4.00,23,01^13:30:00,EN Applied Mathematics & Statistics,,"In-person, In-person",T. Yoon,"Yoon, TaeHo",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 1:30PM - 2:20PM, T 3:00PM - 3:50PM",EN.553.291,10,N,847460,Whiting School of Engineering,10/24,,,,04,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Afternoon,Linear Algebra and Differential Equations,0
EN Applied Mathematics & Statistics,"EQ, Science and Data",Maryland,EN,4.00,23,01^13:30:00,EN Applied Mathematics & Statistics,,"In-person, In-person",T. Yoon,"Yoon, TaeHo",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 1:30PM - 2:20PM, T 6:00PM - 6:50PM",EN.553.291,12,N,847461,Whiting School of Engineering,12/24,,,,05,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Other,Linear Algebra and Differential Equations,0
EN Applied Mathematics & Statistics,"EQ, Science and Data","Maryland, Shaffer",EN,4.00,23,01^13:30:00,EN Applied Mathematics & Statistics,,"In-person, In-person",M. Micheli,"Micheli, Mario",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 1:30PM - 2:20PM, T 3:00PM - 3:50PM",EN.553.295,2,N,847975,Whiting School of Engineering,2/24,,,,01,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Afternoon,Linear Algebra for Data Science,0
EN Applied Mathematics & Statistics^EN Computer Science,"EQ, Science and Data","Maryland, Shaffer",EN,4.00,23,01^13:30:00,EN Applied Mathematics & Statistics,,"In-person, In-person",M. Micheli,"Micheli, Mario",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 1:30PM - 2:20PM, T 4:30PM - 5:20PM",EN.553.295,5,N,847976,Whiting School of Engineering,5/24,,,,02,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Afternoon,Linear Algebra for Data Science,0
EN Applied Mathematics & Statistics,"EQ, Science and Data","Ames, Krieger",EN,4.00,23,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",T. Jones,"Jones, Taylor",No,Upper Level Undergraduate,Homewood Campus,24,"MWF 10:00AM - 10:50AM, T 12:00PM - 12:50PM",EN.553.311,3,N,847463,Whiting School of Engineering,3/24,,,,01,,Closed,,Spring 2026,1/20/2026 12:00:00 AM,Spring 2026,Spring 2026,Other,Intermediate Probability and Statistics,0
