AllDepartments,Areas,Building,CoursePrefix,Credits,DOW,DOWSort,Department,HasBio,InstructionMethod,Instructors,InstructorsFullName,IsWritingIntensive,Level,Location,MaxSeats,Meetings,OfferingName,OpenSeats,Repeatable,SSS_SectionsID,SchoolName,SeatsAvailable,SectionCoReqNotes,SectionCoRequisites,SectionDetails,SectionName,SectionRegRestrictions,Status,SubDepartment,Term,TermStartDate,Term_IDR,Term_JSS,TimeOfDay,Title,Waitlisted
EN Applied Mathematics & Statistics,"Q, Science and Data",,EN,1.00,0,99,EN Applied Mathematics & Statistics,,In-person,D. Naiman,"Naiman, Dan Q",No,Lower Level Undergraduate,Homewood Campus,40,,EN.553.101,35,N,782853,Whiting School of Engineering,35/40,,,,01,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Freshman Experience in Applied Mathematics & Statistics,0
EN Applied Mathematics & Statistics,"Q, Science and Data",,EN,1.00,0,99,EN Applied Mathematics & Statistics,,In-person,H. Lee,"Lee, Holden",No,Lower Level Undergraduate,Homewood Campus,40,,EN.553.101,36,N,814898,Whiting School of Engineering,36/40,,,,02,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Freshman Experience in Applied Mathematics & Statistics,0
EN Applied Mathematics & Statistics,"Q, Science and Data",,EN,1.00,0,99,EN Applied Mathematics & Statistics,,In-person,S. Kushnarev,"Kushnarev, Sergey",No,Lower Level Undergraduate,Homewood Campus,40,,EN.553.101,36,N,814899,Whiting School of Engineering,36/40,,,,03,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Freshman Experience in Applied Mathematics & Statistics,0
EN Applied Mathematics & Statistics,"Q, Science and Data",,EN,1.00,0,99,EN Applied Mathematics & Statistics,,In-person,J. Tonelli Cueto,"Tonelli Cueto, Josue",No,Lower Level Undergraduate,Homewood Campus,40,,EN.553.101,37,N,814900,Whiting School of Engineering,37/40,,,,04,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Freshman Experience in Applied Mathematics & Statistics,0
EN Applied Mathematics & Statistics,"Q, Science and Data",,EN,1.00,0,99,EN Applied Mathematics & Statistics,,In-person,M. Diaz Diaz,"Diaz Diaz, Mateo",No,Lower Level Undergraduate,Homewood Campus,40,,EN.553.101,36,N,814901,Whiting School of Engineering,36/40,,,,05,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Freshman Experience in Applied Mathematics & Statistics,0
EN Applied Mathematics & Statistics,"Q, Science and Data",,EN,1.00,0,99,EN Applied Mathematics & Statistics,,In-person,B. Grimmer,"Grimmer, Ben",No,Lower Level Undergraduate,Homewood Campus,40,,EN.553.101,36,N,814902,Whiting School of Engineering,36/40,,,,06,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Freshman Experience in Applied Mathematics & Statistics,0
EN Applied Mathematics & Statistics,"Q, Science and Data",,EN,1.00,0,99,EN Applied Mathematics & Statistics,,In-person,S. Acharya,"Acharya, Subas",No,Lower Level Undergraduate,Homewood Campus,40,,EN.553.101,37,N,814903,Whiting School of Engineering,37/40,,,,07,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Freshman Experience in Applied Mathematics & Statistics,0
EN Applied Mathematics & Statistics,"EQ, Science and Data","Krieger, Latrobe",EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",H. Vandecasteele,"Vandecasteele, Hannes",No,Lower Level Undergraduate,Homewood Campus,19,"MWF 10:00AM - 10:50AM, Th 4:30PM - 5:20PM",EN.553.111,8,N,783012,Whiting School of Engineering,8/19,,,,01,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Statistical Analysis I,0
EN Applied Mathematics & Statistics,"EQ, Science and Data","Gilman, Krieger",EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",H. Vandecasteele,"Vandecasteele, Hannes",No,Lower Level Undergraduate,Homewood Campus,19,"MWF 10:00AM - 10:50AM, Th 3:00PM - 3:50PM",EN.553.111,1,N,783013,Whiting School of Engineering,1/19,,,,02,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Statistical Analysis I,0
EN Applied Mathematics & Statistics,"Q, Science and Data","Latrobe, Shaffer",EN,4.00,29,01^11:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",A. Nakade,"Nakade, Apurva",No,Lower Level Undergraduate,Homewood Campus,20,"MWF 11:00AM - 11:50AM, Th 12:00PM - 12:50PM",EN.553.171,7,N,783014,Whiting School of Engineering,7/20,,,,01,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Discrete Mathematics,0
EN Applied Mathematics & Statistics,"Q, Science and Data","Latrobe, Wyman Park",EN,4.00,29,01^11:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",A. Nakade,"Nakade, Apurva",No,Lower Level Undergraduate,Homewood Campus,20,"MWF 11:00AM - 11:50AM, Th 1:30PM - 2:20PM",EN.553.171,12,N,783015,Whiting School of Engineering,12/20,,,,02,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Discrete Mathematics,0
EN Applied Mathematics & Statistics,"Q, Science and Data","Krieger, Shaffer",EN,4.00,29,01^12:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",A. Nakade,"Nakade, Apurva",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 12:00PM - 12:50PM, Th 3:00PM - 3:50PM",EN.553.171,4,N,783016,Whiting School of Engineering,4/24,,,,03,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Afternoon,Discrete Mathematics,0
EN Applied Mathematics & Statistics,"Q, Science and Data","Gilman, Krieger",EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",S. Hong,"Hong, Su Ji",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 10:00AM - 10:50AM, Th 6:00PM - 6:50PM",EN.553.172,10,N,783109,Whiting School of Engineering,10/24,,,,01,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Honors Discrete Mathematics,0
EN Applied Mathematics & Statistics,"Q, Science and Data",Krieger,EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",S. Hong,"Hong, Su Ji",No,Lower Level Undergraduate,Homewood Campus,25,"MWF 10:00AM - 10:50AM, Th 4:30PM - 5:20PM",EN.553.172,1,N,792926,Whiting School of Engineering,1/25,,,,02,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Honors Discrete Mathematics,0
EN Applied Mathematics & Statistics,"Q, Science and Data","Bloomberg, Maryland",EN,4.00,29,01^11:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person","T. Jones, R. Zheng","Jones, Taylor; Zheng, Runbing",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 11:00AM - 11:50AM, Th 9:00AM - 9:50AM",EN.553.211,2,N,783113,Whiting School of Engineering,2/24,,,,01,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Morning,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,"Q, Science and Data","Maryland, Shaffer",EN,4.00,29,01^11:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person","T. Jones, R. Zheng","Jones, Taylor; Zheng, Runbing",No,Lower Level Undergraduate,Homewood Campus,25,"MWF 11:00AM - 11:50AM, Th 12:00PM - 12:50PM",EN.553.211,0,N,783114,Whiting School of Engineering,0/25,,,,02,,Closed,,Fall 2024,8/26/2024 12:00:00 AM,Fall 2024,Fall 2024,Other,Probability and Statistics for the Life Sciences,0
