AllDepartments,Areas,Building,CMN_TermsID,CoursePrefix,Credits,DOW,DOWSort,DaysOfWeek,Department,Description,EndTime,HasBio,HierarchicalTerm,InstructionMethod,InstructionMethodFilter,Instructors,InstructorsDelimited,InstructorsFullName,IsIndependentStudy,IsWritingIntensive,Level,Location,LocationDelimited,MaxSeats,MedicineMDOnly,MeetingFormats,Meetings,OfferingName,OfferingVariations,PosTags,Repeatable,SSS_SectionsID,SchoolName,SeatsAvailable,SectionDetails,SectionName,SectionRegRestrictions,SelfSearch,StartTime,Status,SubDepartment,Syllabus_Url,Term,TermStartDate,Term_IDR,Term_JSS,TimeOfDay,Title,UGradPHStudies,Waitlisted,ZoneName,ZonesId,id
"[""EN Applied Mathematics & Statistics""]",[],Olin,1646,EN,1.00,"[""Tuesday""]",02^13:30:00,2,EN Applied Mathematics & Statistics,This course is only open to students enrolled in the MSE in Financial Mathematics program.   Advanced topics chosen according to the interests of the instructor and graduate students.  The course will focus on recent research articles in the financial mathematics literature.,1450,"N, N","{""lvl0"": ""Spring 2024"", ""lvl1"": []}",Independent Study,[],"J. Miller, D. Naiman","[""Miller, John C"", ""Naiman, Dan Q""]","Miller, John C; Naiman, Dan Q",Exclude Independent Study,Non-Writing Intensive,Graduate,Homewood Campus,"[""Homewood Campus""]",100,N,"[""Seminar""]",T 1:30PM - 2:50PM,EN.553.847,"[""EN.553"", ""553.847"", ""847""]",[],Y,767109,Whiting School of Engineering,65/100,"{""CoRequisites"": [], ""CreditType"": """", ""Credits"": ""1.00"", ""CrossListed"": ""N"", ""DepartmentID"": ""43"", ""Departments"": ""EN Applied Mathematics & Statistics"", ""Description"": ""This course is only open to students enrolled in the MSE in Financial Mathematics program.   Advanced topics chosen according to the interests of the instructor and graduate students.  The course will focus on recent research articles in the financial mathematics literature."", ""Equivalencies"": [], ""EvaluationUrls"": [], ""Fees"": [], ""GradeSystemName"": ""AE Grad Letter"", ""InstructionMethods"": ""Independent Study"", ""Instructors"": [{""HopkinsID"": ""FJPKB2|EC3F7A""}], ""Meetings"": [{""Building"": ""Olin"", ""DOW"": ""T"", ""Dates"": ""01-22-2024 to 04-26-2024"", ""Format"": ""Seminar"", ""Times"": ""01:30 PM - 02:50 PM""}], ""PosTags"": [], ""PrereqCoursesCatalogs"": [], ""Prerequisites"": [], ""Restrictions"": [{""Description"": """", ""RestrictionName"": ""Grad Financial Mathematics Majors""}], ""SampleSyllabus"": """", ""SectionCoReqNotes"": """", ""SectionCoRequisites"": """", ""StandardSyllabusLink"": """", ""TextbookInformations"": [{""AttributeValue"": ""Barnes & Noble"", ""BookstoreID"": """", ""ClassStartDate"": ""20240122"", ""CourseName"": ""EN.553.847"", ""CourseNumber"": """", ""Department"": """", ""IdrGroupTerm"": ""W24"", ""Location"": ""Homewood Campus"", ""MbsGroupDesignator"": """", ""MbsSiteCode"": """", ""Name"": ""01"", ""SectionNumber"": """", ""Term"": """", ""ZonesName"": ""ASEN - UGrad""}], ""WebNotes"": ""Open only to students enrolled in the Financial Mathematics MSE program.""}",01,,N,1330,,,https://assessment.jhu.edu/index.cfm/page/AefisCourse.publicSyllabus?courseid=6629,Spring 2024,2024-01-22 00:00:00.000,Spring 2024,"[""Spring 2024""]",Afternoon,Financial Mathematics Masters Seminar,No,0,ASEN - UGrad,5,767109
"[""EN Applied Mathematics & Statistics""]",[],,1646,EN,3.00 - 10.00,[],99,0,EN Applied Mathematics & Statistics,"Reading, research, or project work for Master’s level students.  Arranged individually between students and faculty.",,N,"{""lvl0"": ""Spring 2024"", ""lvl1"": []}",Independent Study,[],E. Fertig,"[""Fertig, Elana""]","Fertig, Elana",Y,Non-Writing Intensive,Graduate Independent Academic Work,Homewood Campus,"[""Homewood Campus""]",10,N,"[""Independent Study/Research""]",,EN.553.809,"[""EN.553"", ""553.809"", ""809""]",[],Y,794416,Whiting School of Engineering,10/10,"{""CoRequisites"": [], ""CreditType"": """", ""Credits"": ""3.00 - 10.00"", ""CrossListed"": ""N"", ""DepartmentID"": ""43"", ""Departments"": ""EN Applied Mathematics & Statistics"", ""Description"": ""Reading, research, or project work for Master\u2019s level students.  Arranged individually between students and faculty."", ""Equivalencies"": [], ""EvaluationUrls"": [], ""Fees"": [], ""GradeSystemName"": ""AE Grad Letter"", ""InstructionMethods"": ""Independent Study"", ""Instructors"": [{""HopkinsID"": ""YWKL13""}], ""Meetings"": [{""Building"": """", ""DOW"": ""None"", ""Dates"": ""01-22-2024 to 04-26-2024"", ""Format"": ""Independent Study/Research"", ""Times"": """"}], ""PosTags"": [], ""PrereqCoursesCatalogs"": [], ""Prerequisites"": [], ""Restrictions"": [{""Description"": """", ""RestrictionName"": ""Grad students""}], ""SampleSyllabus"": """", ""SectionCoReqNotes"": """", ""SectionCoRequisites"": """", ""StandardSyllabusLink"": """", ""TextbookInformations"": [{""AttributeValue"": ""Barnes & Noble"", ""BookstoreID"": """", ""ClassStartDate"": ""20240122"", ""CourseName"": ""EN.553.809"", ""CourseNumber"": """", ""Department"": """", ""IdrGroupTerm"": ""W24"", ""Location"": ""Homewood Campus"", ""MbsGroupDesignator"": """", ""MbsSiteCode"": """", ""Name"": ""15"", ""SectionNumber"": """", ""Term"": """", ""ZonesName"": ""ASEN - UGrad""}], ""WebNotes"": """"}",15,,N,,,,https://assessment.jhu.edu/index.cfm/page/AefisCourse.publicSyllabus?courseid=12660,Spring 2024,2024-01-22 00:00:00.000,Spring 2024,"[""Spring 2024""]",Other,Master's Research,No,0,ASEN - UGrad,5,794416
"[""EN Applied Mathematics & Statistics""]",[],,1646,EN,3.00 - 10.00,[],99,0,EN Applied Mathematics & Statistics,"Reading, research, or project work for Master’s level students.  Arranged individually between students and faculty.",,N,"{""lvl0"": ""Spring 2024"", ""lvl1"": []}",Independent Study,[],H. Lee,"[""Lee, Holden""]","Lee, Holden",Y,Non-Writing Intensive,Graduate Independent Academic Work,Homewood Campus,"[""Homewood Campus""]",10,N,"[""Independent Study/Research""]",,EN.553.809,"[""EN.553"", ""553.809"", ""809""]",[],Y,790690,Whiting School of Engineering,9/10,"{""CoRequisites"": [], ""CreditType"": """", ""Credits"": ""3.00 - 10.00"", ""CrossListed"": ""N"", ""DepartmentID"": ""43"", ""Departments"": ""EN Applied Mathematics & Statistics"", ""Description"": ""Reading, research, or project work for Master\u2019s level students.  Arranged individually between students and faculty."", ""Equivalencies"": [], ""EvaluationUrls"": [], ""Fees"": [], ""GradeSystemName"": ""AE Grad Letter"", ""InstructionMethods"": ""Independent Study"", ""Instructors"": [{""HopkinsID"": ""6C2DA0""}], ""Meetings"": [{""Building"": """", ""DOW"": ""None"", ""Dates"": ""01-22-2024 to 04-26-2024"", ""Format"": ""Independent Study/Research"", ""Times"": """"}], ""PosTags"": [], ""PrereqCoursesCatalogs"": [], ""Prerequisites"": [], ""Restrictions"": [{""Description"": """", ""RestrictionName"": ""Grad students""}], ""SampleSyllabus"": """", ""SectionCoReqNotes"": """", ""SectionCoRequisites"": """", ""StandardSyllabusLink"": """", ""TextbookInformations"": [{""AttributeValue"": ""Barnes & Noble"", ""BookstoreID"": """", ""ClassStartDate"": ""20240122"", ""CourseName"": ""EN.553.809"", ""CourseNumber"": """", ""Department"": """", ""IdrGroupTerm"": ""W24"", ""Location"": ""Homewood Campus"", ""MbsGroupDesignator"": """", ""MbsSiteCode"": """", ""Name"": ""14"", ""SectionNumber"": """", ""Term"": """", ""ZonesName"": ""ASEN - UGrad""}], ""WebNotes"": """"}",14,,N,,,,https://assessment.jhu.edu/index.cfm/page/AefisCourse.publicSyllabus?courseid=12660,Spring 2024,2024-01-22 00:00:00.000,Spring 2024,"[""Spring 2024""]",Other,Master's Research,No,0,ASEN - UGrad,5,790690
"[""EN Applied Mathematics & Statistics""]",[],,1646,EN,3.00 - 10.00,[],99,0,EN Applied Mathematics & Statistics,"Reading, research, or project work for Master’s level students.  Arranged individually between students and faculty.",,N,"{""lvl0"": ""Spring 2024"", ""lvl1"": []}",Independent Study,[],H. Geman,"[""Geman, Helyette esther""]","Geman, Helyette esther",Y,Non-Writing Intensive,Graduate Independent Academic Work,Homewood Campus,"[""Homewood Campus""]",10,N,"[""Independent Study/Research""]",,EN.553.809,"[""EN.553"", ""553.809"", ""809""]",[],Y,788925,Whiting School of Engineering,9/10,"{""CoRequisites"": [], ""CreditType"": """", ""Credits"": ""3.00 - 10.00"", ""CrossListed"": ""N"", ""DepartmentID"": ""43"", ""Departments"": ""EN Applied Mathematics & Statistics"", ""Description"": ""Reading, research, or project work for Master\u2019s level students.  Arranged individually between students and faculty."", ""Equivalencies"": [], ""EvaluationUrls"": [], ""Fees"": [], ""GradeSystemName"": ""AE Grad Letter"", ""InstructionMethods"": ""Independent Study"", ""Instructors"": [{""HopkinsID"": ""65D813""}], ""Meetings"": [{""Building"": """", ""DOW"": ""None"", ""Dates"": ""01-22-2024 to 04-26-2024"", ""Format"": ""Independent Study/Research"", ""Times"": """"}], ""PosTags"": [], ""PrereqCoursesCatalogs"": [], ""Prerequisites"": [], ""Restrictions"": [{""Description"": """", ""RestrictionName"": ""Grad students""}], ""SampleSyllabus"": """", ""SectionCoReqNotes"": """", ""SectionCoRequisites"": """", ""StandardSyllabusLink"": """", ""TextbookInformations"": [{""AttributeValue"": ""Barnes & Noble"", ""BookstoreID"": """", ""ClassStartDate"": ""20240122"", ""CourseName"": ""EN.553.809"", ""CourseNumber"": """", ""Department"": """", ""IdrGroupTerm"": ""W24"", ""Location"": ""Homewood Campus"", ""MbsGroupDesignator"": """", ""MbsSiteCode"": """", ""Name"": ""13"", ""SectionNumber"": """", ""Term"": """", ""ZonesName"": ""ASEN - UGrad""}], ""WebNotes"": """"}",13,,N,,,,https://assessment.jhu.edu/index.cfm/page/AefisCourse.publicSyllabus?courseid=12660,Spring 2024,2024-01-22 00:00:00.000,Spring 2024,"[""Spring 2024""]",Other,Master's Research,No,0,ASEN - UGrad,5,788925
"[""EN Applied Mathematics & Statistics""]",[],,1646,EN,3.00 - 10.00,[],99,0,EN Applied Mathematics & Statistics,"Reading, research, or project work for Master’s level students.  Arranged individually between students and faculty.",,N,"{""lvl0"": ""Spring 2024"", ""lvl1"": []}",Independent Study,[],D. Gnang,"[""Gnang, DrG Koffi""]","Gnang, DrG Koffi",Y,Non-Writing Intensive,Graduate Independent Academic Work,Homewood Campus,"[""Homewood Campus""]",10,N,"[""Independent Study/Research""]",,EN.553.809,"[""EN.553"", ""553.809"", ""809""]",[],Y,788680,Whiting School of Engineering,9/10,"{""CoRequisites"": [], ""CreditType"": """", ""Credits"": ""3.00 - 10.00"", ""CrossListed"": ""N"", ""DepartmentID"": ""43"", ""Departments"": ""EN Applied Mathematics & Statistics"", ""Description"": ""Reading, research, or project work for Master\u2019s level students.  Arranged individually between students and faculty."", ""Equivalencies"": [], ""EvaluationUrls"": [], ""Fees"": [], ""GradeSystemName"": ""AE Grad Letter"", ""InstructionMethods"": ""Independent Study"", ""Instructors"": [{""HopkinsID"": ""C46291""}], ""Meetings"": [{""Building"": """", ""DOW"": ""None"", ""Dates"": ""01-22-2024 to 04-26-2024"", ""Format"": ""Independent Study/Research"", ""Times"": """"}], ""PosTags"": [], ""PrereqCoursesCatalogs"": [], ""Prerequisites"": [], ""Restrictions"": [{""Description"": """", ""RestrictionName"": ""Grad students""}], ""SampleSyllabus"": """", ""SectionCoReqNotes"": """", ""SectionCoRequisites"": """", ""StandardSyllabusLink"": """", ""TextbookInformations"": [{""AttributeValue"": ""Barnes & Noble"", ""BookstoreID"": """", ""ClassStartDate"": ""20240122"", ""CourseName"": ""EN.553.809"", ""CourseNumber"": """", ""Department"": """", ""IdrGroupTerm"": ""W24"", ""Location"": ""Homewood Campus"", ""MbsGroupDesignator"": """", ""MbsSiteCode"": """", ""Name"": ""12"", ""SectionNumber"": """", ""Term"": """", ""ZonesName"": ""ASEN - UGrad""}], ""WebNotes"": """"}",12,,N,,,,https://assessment.jhu.edu/index.cfm/page/AefisCourse.publicSyllabus?courseid=12660,Spring 2024,2024-01-22 00:00:00.000,Spring 2024,"[""Spring 2024""]",Other,Master's Research,No,0,ASEN - UGrad,5,788680
"[""EN Applied Mathematics & Statistics""]",[],,1646,EN,3.00 - 10.00,[],99,0,EN Applied Mathematics & Statistics,"Reading, research, or project work for Master’s level students.  Arranged individually between students and faculty.",,N,"{""lvl0"": ""Spring 2024"", ""lvl1"": []}",Independent Study,[],F. Santosa,"[""Santosa, Fadil""]","Santosa, Fadil",Y,Non-Writing Intensive,Graduate Independent Academic Work,Homewood Campus,"[""Homewood Campus""]",10,N,"[""Independent Study/Research""]",,EN.553.809,"[""EN.553"", ""553.809"", ""809""]",[],Y,767470,Whiting School of Engineering,10/10,"{""CoRequisites"": [], ""CreditType"": """", ""Credits"": ""3.00 - 10.00"", ""CrossListed"": ""N"", ""DepartmentID"": ""43"", ""Departments"": ""EN Applied Mathematics & Statistics"", ""Description"": ""Reading, research, or project work for Master\u2019s level students.  Arranged individually between students and faculty."", ""Equivalencies"": [], ""EvaluationUrls"": [], ""Fees"": [], ""GradeSystemName"": ""AE Grad Letter"", ""InstructionMethods"": ""Independent Study"", ""Instructors"": [{""HopkinsID"": ""DC7926""}], ""Meetings"": [{""Building"": """", ""DOW"": ""None"", ""Dates"": ""01-22-2024 to 04-26-2024"", ""Format"": ""Independent Study/Research"", ""Times"": """"}], ""PosTags"": [], ""PrereqCoursesCatalogs"": [], ""Prerequisites"": [], ""Restrictions"": [{""Description"": """", ""RestrictionName"": ""Grad students""}], ""SampleSyllabus"": """", ""SectionCoReqNotes"": """", ""SectionCoRequisites"": """", ""StandardSyllabusLink"": """", ""TextbookInformations"": [{""AttributeValue"": ""Barnes & Noble"", ""BookstoreID"": """", ""ClassStartDate"": ""20240122"", ""CourseName"": ""EN.553.809"", ""CourseNumber"": """", ""Department"": """", ""IdrGroupTerm"": ""W24"", ""Location"": ""Homewood Campus"", ""MbsGroupDesignator"": """", ""MbsSiteCode"": """", ""Name"": ""11"", ""SectionNumber"": """", ""Term"": """", ""ZonesName"": ""ASEN - UGrad""}], ""WebNotes"": """"}",11,,N,,,,https://assessment.jhu.edu/index.cfm/page/AefisCourse.publicSyllabus?courseid=12660,Spring 2024,2024-01-22 00:00:00.000,Spring 2024,"[""Spring 2024""]",Other,Master's Research,No,0,ASEN - UGrad,5,767470
"[""EN Applied Mathematics & Statistics""]",[],,1646,EN,3.00 - 10.00,[],99,0,EN Applied Mathematics & Statistics,"Reading, research, or project work for Master’s level students.  Arranged individually between students and faculty.",,N,"{""lvl0"": ""Spring 2024"", ""lvl1"": []}",Independent Study,[],M. Maggioni,"[""Maggioni, Mauro""]","Maggioni, Mauro",Y,Non-Writing Intensive,Graduate Independent Academic Work,Homewood Campus,"[""Homewood Campus""]",10,N,"[""Independent Study/Research""]",,EN.553.809,"[""EN.553"", ""553.809"", ""809""]",[],Y,767469,Whiting School of Engineering,10/10,"{""CoRequisites"": [], ""CreditType"": """", ""Credits"": ""3.00 - 10.00"", ""CrossListed"": ""N"", ""DepartmentID"": ""43"", ""Departments"": ""EN Applied Mathematics & Statistics"", ""Description"": ""Reading, research, or project work for Master\u2019s level students.  Arranged individually between students and faculty."", ""Equivalencies"": [], ""EvaluationUrls"": [], ""Fees"": [], ""GradeSystemName"": ""AE Grad Letter"", ""InstructionMethods"": ""Independent Study"", ""Instructors"": [{""HopkinsID"": ""C7D045""}], ""Meetings"": [{""Building"": """", ""DOW"": ""None"", ""Dates"": ""01-22-2024 to 04-26-2024"", ""Format"": ""Independent Study/Research"", ""Times"": """"}], ""PosTags"": [], ""PrereqCoursesCatalogs"": [], ""Prerequisites"": [], ""Restrictions"": [{""Description"": """", ""RestrictionName"": ""Grad students""}], ""SampleSyllabus"": """", ""SectionCoReqNotes"": """", ""SectionCoRequisites"": """", ""StandardSyllabusLink"": """", ""TextbookInformations"": [{""AttributeValue"": ""Barnes & Noble"", ""BookstoreID"": """", ""ClassStartDate"": ""20240122"", ""CourseName"": ""EN.553.809"", ""CourseNumber"": """", ""Department"": """", ""IdrGroupTerm"": ""W24"", ""Location"": ""Homewood Campus"", ""MbsGroupDesignator"": """", ""MbsSiteCode"": """", ""Name"": ""10"", ""SectionNumber"": """", ""Term"": """", ""ZonesName"": ""ASEN - UGrad""}], ""WebNotes"": """"}",10,,N,,,,https://assessment.jhu.edu/index.cfm/page/AefisCourse.publicSyllabus?courseid=12660,Spring 2024,2024-01-22 00:00:00.000,Spring 2024,"[""Spring 2024""]",Other,Master's Research,No,0,ASEN - UGrad,5,767469
"[""EN Applied Mathematics & Statistics""]",[],,1646,EN,3.00 - 10.00,[],99,0,EN Applied Mathematics & Statistics,"Reading, research, or project work for Master’s level students.  Arranged individually between students and faculty.",,N,"{""lvl0"": ""Spring 2024"", ""lvl1"": []}",Independent Study,[],A. Basu,"[""Basu, Amitabh""]","Basu, Amitabh",Y,Non-Writing Intensive,Graduate Independent Academic Work,Homewood Campus,"[""Homewood Campus""]",10,N,"[""Independent Study/Research""]",,EN.553.809,"[""EN.553"", ""553.809"", ""809""]",[],Y,767468,Whiting School of Engineering,9/10,"{""CoRequisites"": [], ""CreditType"": """", ""Credits"": ""3.00 - 10.00"", ""CrossListed"": ""N"", ""DepartmentID"": ""43"", ""Departments"": ""EN Applied Mathematics & Statistics"", ""Description"": ""Reading, research, or project work for Master\u2019s level students.  Arranged individually between students and faculty."", ""Equivalencies"": [], ""EvaluationUrls"": [], ""Fees"": [], ""GradeSystemName"": ""AE Grad Letter"", ""InstructionMethods"": ""Independent Study"", ""Instructors"": [{""HopkinsID"": ""C0F280""}], ""Meetings"": [{""Building"": """", ""DOW"": ""None"", ""Dates"": ""01-22-2024 to 04-26-2024"", ""Format"": ""Independent Study/Research"", ""Times"": """"}], ""PosTags"": [], ""PrereqCoursesCatalogs"": [], ""Prerequisites"": [], ""Restrictions"": [{""Description"": """", ""RestrictionName"": ""Grad students""}], ""SampleSyllabus"": """", ""SectionCoReqNotes"": """", ""SectionCoRequisites"": """", ""StandardSyllabusLink"": """", ""TextbookInformations"": [{""AttributeValue"": ""Barnes & Noble"", ""BookstoreID"": """", ""ClassStartDate"": ""20240122"", ""CourseName"": ""EN.553.809"", ""CourseNumber"": """", ""Department"": """", ""IdrGroupTerm"": ""W24"", ""Location"": ""Homewood Campus"", ""MbsGroupDesignator"": """", ""MbsSiteCode"": """", ""Name"": ""09"", ""SectionNumber"": """", ""Term"": """", ""ZonesName"": ""ASEN - UGrad""}], ""WebNotes"": """"}",09,,N,,,,https://assessment.jhu.edu/index.cfm/page/AefisCourse.publicSyllabus?courseid=12660,Spring 2024,2024-01-22 00:00:00.000,Spring 2024,"[""Spring 2024""]",Other,Master's Research,No,0,ASEN - UGrad,5,767468
"[""EN Applied Mathematics & Statistics""]",[],,1646,EN,3.00 - 10.00,[],99,0,EN Applied Mathematics & Statistics,"Reading, research, or project work for Master’s level students.  Arranged individually between students and faculty.",,N,"{""lvl0"": ""Spring 2024"", ""lvl1"": []}",Independent Study,[],D. Naiman,"[""Naiman, Dan Q""]","Naiman, Dan Q",Y,Non-Writing Intensive,Graduate Independent Academic Work,Homewood Campus,"[""Homewood Campus""]",10,N,"[""Independent Study/Research""]",,EN.553.809,"[""EN.553"", ""553.809"", ""809""]",[],Y,767467,Whiting School of Engineering,9/10,"{""CoRequisites"": [], ""CreditType"": """", ""Credits"": ""3.00 - 10.00"", ""CrossListed"": ""N"", ""DepartmentID"": ""43"", ""Departments"": ""EN Applied Mathematics & Statistics"", ""Description"": ""Reading, research, or project work for Master\u2019s level students.  Arranged individually between students and faculty."", ""Equivalencies"": [], ""EvaluationUrls"": [], ""Fees"": [], ""GradeSystemName"": ""AE Grad Letter"", ""InstructionMethods"": ""Independent Study"", ""Instructors"": [{""HopkinsID"": ""FJPKB2""}], ""Meetings"": [{""Building"": """", ""DOW"": ""None"", ""Dates"": ""01-22-2024 to 04-26-2024"", ""Format"": ""Independent Study/Research"", ""Times"": """"}], ""PosTags"": [], ""PrereqCoursesCatalogs"": [], ""Prerequisites"": [], ""Restrictions"": [{""Description"": """", ""RestrictionName"": ""Grad students""}], ""SampleSyllabus"": """", ""SectionCoReqNotes"": """", ""SectionCoRequisites"": """", ""StandardSyllabusLink"": """", ""TextbookInformations"": [{""AttributeValue"": ""Barnes & Noble"", ""BookstoreID"": """", ""ClassStartDate"": ""20240122"", ""CourseName"": ""EN.553.809"", ""CourseNumber"": """", ""Department"": """", ""IdrGroupTerm"": ""W24"", ""Location"": ""Homewood Campus"", ""MbsGroupDesignator"": """", ""MbsSiteCode"": """", ""Name"": ""08"", ""SectionNumber"": """", ""Term"": """", ""ZonesName"": ""ASEN - UGrad""}], ""WebNotes"": """"}",08,,N,,,,https://assessment.jhu.edu/index.cfm/page/AefisCourse.publicSyllabus?courseid=12660,Spring 2024,2024-01-22 00:00:00.000,Spring 2024,"[""Spring 2024""]",Other,Master's Research,No,0,ASEN - UGrad,5,767467
"[""EN Applied Mathematics & Statistics""]",[],,1646,EN,3.00 - 10.00,[],99,0,EN Applied Mathematics & Statistics,"Reading, research, or project work for Master’s level students.  Arranged individually between students and faculty.",,N,"{""lvl0"": ""Spring 2024"", ""lvl1"": []}",Independent Study,[],B. Grimmer,"[""Grimmer, Ben""]","Grimmer, Ben",Y,Non-Writing Intensive,Graduate Independent Academic Work,Homewood Campus,"[""Homewood Campus""]",10,N,"[""Independent Study/Research""]",,EN.553.809,"[""EN.553"", ""553.809"", ""809""]",[],Y,767466,Whiting School of Engineering,9/10,"{""CoRequisites"": [], ""CreditType"": """", ""Credits"": ""3.00 - 10.00"", ""CrossListed"": ""N"", ""DepartmentID"": ""43"", ""Departments"": ""EN Applied Mathematics & Statistics"", ""Description"": ""Reading, research, or project work for Master\u2019s level students.  Arranged individually between students and faculty."", ""Equivalencies"": [], ""EvaluationUrls"": [], ""Fees"": [], ""GradeSystemName"": ""AE Grad Letter"", ""InstructionMethods"": ""Independent Study"", ""Instructors"": [{""HopkinsID"": ""DEF693""}], ""Meetings"": [{""Building"": """", ""DOW"": ""None"", ""Dates"": ""01-22-2024 to 04-26-2024"", ""Format"": ""Independent Study/Research"", ""Times"": """"}], ""PosTags"": [], ""PrereqCoursesCatalogs"": [], ""Prerequisites"": [], ""Restrictions"": [{""Description"": """", ""RestrictionName"": ""Grad students""}], ""SampleSyllabus"": """", ""SectionCoReqNotes"": """", ""SectionCoRequisites"": """", ""StandardSyllabusLink"": """", ""TextbookInformations"": [{""AttributeValue"": ""Barnes & Noble"", ""BookstoreID"": """", ""ClassStartDate"": ""20240122"", ""CourseName"": ""EN.553.809"", ""CourseNumber"": """", ""Department"": """", ""IdrGroupTerm"": ""W24"", ""Location"": ""Homewood Campus"", ""MbsGroupDesignator"": """", ""MbsSiteCode"": """", ""Name"": ""07"", ""SectionNumber"": """", ""Term"": """", ""ZonesName"": ""ASEN - UGrad""}], ""WebNotes"": """"}",07,,N,,,,https://assessment.jhu.edu/index.cfm/page/AefisCourse.publicSyllabus?courseid=12660,Spring 2024,2024-01-22 00:00:00.000,Spring 2024,"[""Spring 2024""]",Other,Master's Research,No,0,ASEN - UGrad,5,767466
